designator,category,description,required,notes,manufacturer,mpn,package,footprint,datasheet,alternate_mpn,freeze_status
U1,mcu,STM32U5 host MCU,true,Primary application processor for USB display touch NFC secure boot debug lock and policy logic,STMicroelectronics,STM32U585VIT6,LQFP100,Package_QFP:LQFP-100_14x14mm_P0.5mm,https://www.st.com/resource/en/datasheet/stm32u585vi.pdf,STM32U575VIT6,frozen
U1_ALT,mcu,STM32U5 host MCU fallback,false,Alternate source fallback only; do not place with U1,STMicroelectronics,STM32U575VIT6,LQFP100,Package_QFP:LQFP-100_14x14mm_P0.5mm,https://www.st.com/resource/en/datasheet/stm32u575vi.pdf,,candidate
U2,secure_element,TROPIC01 primary open secure element,true,Primary open secure element; 3.3 V logic only; SPI with GPO polling fallback; power-cycle through load switch,Tropic Square,TR01-C2P-T301,QFN32 4x4mm,Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,https://github.com/tropicsquare/tropic01,TR01-C2P-T310,frozen
U2_ALT,secure_element,TROPIC01 preferred future/on-request part,false,Alternate TROPIC01 part when obtainable; do not place with U2,Tropic Square,TR01-C2P-T310,QFN32 4x4mm,Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,https://github.com/tropicsquare/tropic01,,candidate
U3,power,3.3 V system buck regulator,true,Current budget must cover display backlight NFC battery operation expansion and secure island,Texas Instruments,TPS62840DLCR,VSON-HR 8,Package_DFN_QFN:Texas_VSON-HR-8_2x1.5mm_P0.5mm,https://www.ti.com/lit/ds/symlink/tps62840.pdf,,candidate
U4,power,TROPIC01 load switch for controlled power-cycle,true,Power-gating path for TROPIC01 recovery because design must use controlled power cycling,Texas Instruments,TPS22917DBVR,SOT-23-6,Package_TO_SOT_SMD:SOT-23-6,https://www.ti.com/lit/ds/symlink/tps22917.pdf,,candidate
U5,storage,QSPI NOR flash,true,Soldered storage for firmware assets signed logs encrypted blobs and recovery staging; not secure storage by itself,Winbond,W25Q128JVSIQ,SOIC-8,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,https://www.winbond.com/resource-files/w25q128jv%20revf%2003272018%20plus.pdf,,frozen
J1,usb,USB-C receptacle female centered on bottom short edge,true,GCT USB4105 USB 2.0 Type-C receptacle; female only; no plug-style board; CC Rd and ESD required,GCT,USB4105-GF-A,USB-C 16P SMT receptacle,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,https://gct.co/files/specs/usb4105-spec.pdf,,frozen
U7,protection,USB ESD protection,true,Low-capacitance ESD protection close to USB-C connector,Texas Instruments,TPD4E05U06DQAR,USON-10,Package_SON:USON-10_2.5x1.0mm_P0.5mm,https://www.ti.com/lit/ds/symlink/tpd4e05u06.pdf,,candidate
U8,protection,USB VBUS current-limit switch,true,Input current limiting for USB VBUS before board power path,Texas Instruments,TPS2553DBVR,SOT-23-6,Package_TO_SOT_SMD:SOT-23-6,https://www.ti.com/lit/ds/symlink/tps2553.pdf,,candidate
