Designator,Qty,Value,MPN,Footprint,Type
C3 C4 C5 C36 C37 C38 C40 C41 C50 C51 C52 C53 C54 C55 C56 C57 C58,17,100nF,,C_0402_1005Metric,SMD
R14 R16 R17 R22 R23,5,100k,,R_0402_1005Metric,SMD
C6 C7 C8,3,1nF,,C_0402_1005Metric,SMD
C16 C17 C39,3,2.2uF,,C_0402_1005Metric,SMD
U4 U13 U14,3,TPS22917DBVR,TPS22917DBVR,SOT-23-6,SMD
RJ1 RJ2,2,0R,,R_0402_1005Metric,SMD
R13 R19,2,10k,,R_0402_1005Metric,SMD
C34 C35,2,10pF C0G,,C_0402_1005Metric,SMD
C32 C33,2,180pF C0G (TUNE),,C_0402_1005Metric,SMD
R20 R24,2,1M,,R_0402_1005Metric,SMD
RLED2 RLED3,2,220,,R_0402_1005Metric,SMD
R3 R4,2,22R,,R_0402_1005Metric,SMD
L30 L31,2,270nH (TUNE),,L_0402_1005Metric,SMD
R6 R7,2,4.7k,,R_0402_1005Metric,SMD
R1 R2,2,5.1k,,R_0402_1005Metric,SMD
C30 C31,2,680pF C0G (TUNE),,C_0402_1005Metric,SMD
C18 C19,2,8pF C0G,,C_0402_1005Metric,SMD
R10,1,1.13k,,R_0402_1005Metric,SMD
R9,1,1.18k,,R_0402_1005Metric,SMD
C1,1,10uF,,C_0603_1608Metric,SMD
L15,1,10uH buck,,L_Wuerth_PMFI-201610_PMCI-compatible,SMD
X1,1,16.000MHz CL8pF,ABM8-16.000MHZ-B4Y-T,Crystal_SMD_3225-4Pin_3.2x2.5mm,SMD
C15,1,1uF,,C_0603_1608Metric,SMD
C14,1,1uF,,C_0402_1005Metric,SMD
C13,1,220nF,,C_0402_1005Metric,SMD
R18,1,267k,,R_0402_1005Metric,SMD
X3,1,27.120MHz CL8pF,FA-238 27.1200MF-C8,Crystal_SMD_3225-4Pin_3.2x2.5mm,SMD
R8,1,27k,,R_0402_1005Metric,SMD
R21,1,330k,,R_0402_1005Metric,SMD
R12,1,4.12k,,R_0402_1005Metric,SMD
C59,1,4.7uF,,C_0402_1005Metric,SMD
C2,1,4.7uF,,C_0603_1608Metric,SMD
R11,1,46.4k,,R_0402_1005Metric,SMD
RLED1,1,470,,R_0402_1005Metric,SMD
R5,1,47k,,R_0402_1005Metric,SMD
U15,1,AL8860 buck WLED drv,AL8860WT-7,SOT-23-6,SMD
LED1,1,ASMB-MTB0-0A3A2,ASMB-MTB0-0A3A2,LED_Avago_PLCC4_3.2x2.8mm_CW,SMD
JP1,1,BOOT0_DFU,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,SMD
U10,1,BQ24074RGTR,BQ24074RGTR,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,SMD
L1,1,DFE201610P-2R2M,,L_Wuerth_PMFI-201610_PMCI-compatible,SMD
J2,1,ER-TFT024IPS-3 50P FFC,FH12A-50S-0.5SH(55) [top-contact; was FH12-],Hirose_FH12-50S-0.5SH_1x50-1MP_P0.50mm_Horizontal,SMD
SW1,1,EVQP7J01P,EVQP7J01P,SW_SPST_EVQP7C,SMD
TP_UART_GND,1,GND,,TestPoint_Pad_D1.0mm,SMD
U11,1,OPTIGA-TRUST-M-SLS32AIA,OPTIGA-TRUST-M-SLS32AIA,Microchip_USON-10-1EP_3x3mm_P0.5mm_EP1.8x2.5mm,SMD
R15,1,Rsense 1.25R 1%,,R_0402_1005Metric,SMD
J9,1,S2B-PH-SM4-TB,S2B-PH-SM4-TB(LF)(SN),JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,SMD
J6,1,SM04B-SRSS-TB,SM04B-SRSS-TB(LF)(SN),JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,SMD
U9,1,ST25R3916B-AQET,ST25R3916B-AQET,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,SMD
U1,1,STM32U585VIT6,STM32U585VIT6,LQFP-100_14x14mm_P0.5mm,SMD
J7,1,SWD_TC2030,,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,THT
D15,1,Schottky 40V 1A,,D_SOD-123,SMD
U7,1,TPD4E05U06DQAR,TPD4E05U06DQAR,USON-10_2.5x1.0mm_P0.5mm,SMD
U8,1,TPS2553DBVR,TPS2553DBVR,SOT-23-6,SMD
U3,1,TPS62840DLCR,TPS62840DLCR,Texas_VSON-HR-8_1.5x2mm_P0.5mm,SMD
U2,1,TR01-C2P-T301,TR01-C2P-T301,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,SMD
TP_UART_RX,1,UART_RX,,TestPoint_Pad_D1.0mm,SMD
TP_UART_TX,1,UART_TX,,TestPoint_Pad_D1.0mm,SMD
J1,1,USB4105-GF-A,USB4105-GF-A,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,SMD
U5,1,W25Q128JVSIQ,W25Q128JVSIQ,SOIC-8_5.23x5.23mm_P1.27mm,SMD
