Designator,Qty,Manufacturer,Manufacturer Part Number,Description,Package,Footprint,Notes
U1,1,STMicroelectronics,STM32U585VIT6,STM32U5 host MCU,LQFP100,Package_QFP:LQFP-100_14x14mm_P0.5mm,Primary application processor for USB display touch NFC secure boot debug lock and policy logic
U2,1,Tropic Square,TR01-C2P-T301,TROPIC01 primary open secure element,QFN32 4x4mm,Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,Primary open secure element; 3.3 V logic only; SPI with GPO polling fallback; power-cycle through load switch
U3,1,Texas Instruments,TPS62840DLCR,3.3 V system buck regulator,VSON-HR 8,Package_DFN_QFN:Texas_VSON-HR-8_2x1.5mm_P0.5mm,Current budget must cover display backlight NFC battery operation expansion and secure island
U4,1,Texas Instruments,TPS22917DBVR,TROPIC01 load switch for controlled power-cycle,SOT-23-6,Package_TO_SOT_SMD:SOT-23-6,Power-gating path for TROPIC01 recovery because design must use controlled power cycling
U5,1,Winbond,W25Q128JVSIQ,QSPI NOR flash,SOIC-8,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,Soldered storage for firmware assets signed logs encrypted blobs and recovery staging; not secure storage by itself
J1,1,GCT,USB4105-GF-A,USB-C receptacle female centered on bottom short edge,USB-C 16P SMT receptacle,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,GCT USB4105 USB 2.0 Type-C receptacle; female only; no plug-style board; CC Rd and ESD required
U7,1,Texas Instruments,TPD4E05U06DQAR,USB ESD protection,USON-10,Package_SON:USON-10_2.5x1.0mm_P0.5mm,Low-capacitance ESD protection close to USB-C connector
U8,1,Texas Instruments,TPS2553DBVR,USB VBUS current-limit switch,SOT-23-6,Package_TO_SOT_SMD:SOT-23-6,Input current limiting for USB VBUS before board power path
J2,1,Hirose,FH12-50S-0.5SH(55),50-pin 0.5mm FFC connector for display SPI and capacitive touch I2C,FFC 50P 0.5mm,Connector_FFC-FPC:Hirose_FH12-50S-0.5SH_1x50-1MP_P0.50mm_Horizontal,Single FFC carries display and capacitive touch; top-contact 0.5mm; footprint must be checked against the panel FFC drawing
"SW1,SW2",2,Panasonic,EVQP7J01P,High left and right side-operation physical buttons,Side tactile switch,Button_Switch_SMD:SW_SPST_EVQP7A,Side-actuated approve and reject buttons; not front-facing tact switches
U9,1,STMicroelectronics,ST25R3916B-AQET,NFC/RFID controller,VFQFPN32,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,Power-gated ST25R3916B for NFC and RFID workflows; disabled by default in hardened firmware
U10,1,Texas Instruments,BQ24074RGTR,LiPo charger with power-path,VQFN-16,Package_DFN_QFN:VQFN-16-1EP_3.5x3.5mm_P0.5mm_EP2.1x2.1mm,Battery charger and power-path load sharing for USB or battery operation
J9,1,JST,S2B-PH-SM4-TB(LF)(SN),LiPo battery connector,JST PH 2P SMD,Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,JST PH connector for single-cell LiPo battery
U11,1,Infineon,OPTIGA-TRUST-M-SLS32AIA,OPTIGA Trust M class I2C second secure element,PG-USON-10 3x3mm,Package_SON:Microchip_USON-10-1EP_3x3mm_P0.5mm_EP1.8x2.5mm,Second secure element for independent defense-in-depth attestation and anti-clone policy; TROPIC01 remains the open primary secure element
J6,1,JST,SM04B-SRSS-TB(LF)(SN),Qwiic STEMMA QT I2C connector,JST SH 4P SMD,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,Compact I2C expansion without large headers; power-limited 3V3
